实体ID,实体名称,实体类别
13274,腔隙性脑梗死（急性期）,Illness
13275,胆囊炎并胆管内结石,Illness
13276,右肩周炎,Illness
13277,双侧甲状腺瘤切除术后,Illness
13278,颈动脉粥样硬化症（左侧颈总动脉狭窄约50%-69%）,Illness
13279,子宫肌瘤切除术后,Illness
13280,双颈动脉粥样硬化症,Illness
13281,甲状腺结节（乳头状癌）,Illness
13282,胃息肉（已摘除）,Illness
13283,角膜激光术后,Illness
13284,高血压病3级（极高危组),Illness
13285,双侧大脑前动脉共干,Illness
13286,息肉摘除术,Illness
13287,L3,Illness
13288,左侧肾上腺区占位（髓脂瘤可能）,Illness
13289,盆腔包块,Illness
13290,双侧肩关节退行性变,Illness
13291,管状腺瘤,Illness
13292,胃幽门螺旋杆菌感染,Illness
13293,双膝关节少量积液,Illness
13294,冠心病PCI术后,Illness
13295,肾上腺肿瘤切除术后,Illness
13296,双上肺陈旧性病灶,Illness
13297,冠状动脉肌桥,Illness
13298,肝左叶囊肿,Illness
13299,慢性丙型病毒性肝炎,Illness
13300,心力衰竭,Illness
13301,上颌窦及筛窦炎,Illness
13302,胆总管轻度扩张,Illness
13303,前列腺增生症,Illness
13304,高血压病1级（很高危组）,Illness
13305,白内障,Illness
13306,两侧胸腔少量积液,Illness
13307,前列腺增生伴钙化灶,Illness
13308,左肺舌叶索条,Illness
13309,膀胱肿瘤术后复发转移,Illness
13310,肾上腺结合部结节样增粗,Illness
13311,2度窦房阻滞,Illness
13312,右肾,Illness
13313,右肾萎缩伴多发点状钙化灶,Illness
13314,左颈动脉粥样斑块形成,Illness
13315,高血压病(2级，极高危),Illness
13316,右侧上颌窦粘膜下囊肿,Illness
13317,升结肠管状腺瘤伴低度上皮内瘤变,Illness
13318,胆囊炎并胆固醇壁胆固醇结晶,Illness
13319,高血压病I级（高危组）,Illness
13320,呼吸道感染,Illness
13321,慢性肾脏病5期,Illness
13322,腰椎间盘膨出,Illness
13323,乳腺小叶增生,Illness
13324,T11-L2椎体许莫氏结节,Illness
13325,心律失常（房性早搏）,Illness
13326,结肠多发息肉（已钳除）,Illness
13327,右中下肺及左肺下叶钙化灶,Illness
13328,左肺上叶结节,Illness
13329,慢性肾功能不全（CKDI期）,Illness
13330,肝左叶占位可疑ICC,Illness
13331,双肾体积增大,Illness
13332,肝内多发囊肿,Illness
13333,胃部复合性溃疡,Illness
13334,高钙血症,Illness
13335,病态窦房结综合征,Illness
13336,淤积性皮炎,Illness
13337,肾上腺钙化,Illness
13338,左肺不张,Illness
13339,双眼白内障,Illness
13340,脾脏切除术后,Illness
13341,左侧甲状腺结节,Illness
13342,腹腔镜下双侧输卵管切除术后,Illness
13343,左肾上腺外支增粗伴钙化,Illness
13344,心脏射频消融术后,Illness
13345,多发性肋骨骨折,Illness
13346,冠状动脉造影+临时起搏+PTCA术后,Illness
13347,双眼斜视,Illness
13348,腹腔镜脐疝补片修补术后,Illness
13349,左膝关节滑膜炎,Illness
13350,左肾微小结石,Illness
13351,左下肺陈旧性病变,Illness
13352,主动脉结钙化,Illness
13353,左侧乳腺癌术后,Illness
13354,右肾萎缩,Illness
13355,重度睡眠呼吸暂停综合征,Illness
13356,心房扑动（R-R长间歇）,Illness
13357,左肺下叶多发小结节,Illness
13358,左侧胸膜粘连,Illness
13359,脱髓鞘病变,Illness
13360,结肠息肉,Illness
13361,高血压病2级(很高危),Illness
13362,双下肢静脉曲张,Illness
13363,双眼糖尿病性视网膜病变,Illness
13364,偏头痛,Illness
13365,月经紊乱,Illness
13366,左眼青光眼术后,Illness
13367,子宫腺肌症,Illness
13368,左侧肾上腺髓脂瘤,Illness
13369,高血压病II级（极高危）,Illness
13370,陈旧性腔隙性脑梗死,Illness
13371,降结肠癌根治术后,Illness
13372,下肢静脉曲张,Illness
13373,后颈部皮肤破溃,Illness
13374,高血压病Ⅱ级（极高危）,Illness
13375,爆发型1型糖尿病,Illness
13376,肝内占位,Illness
13377,子宫肌瘤术后,Illness
13378,亚临床糖尿病周围神经病变,Illness
13379,痛性糖尿病神经病变,Illness
13380,双侧腕管综合征可能,Illness
13381,胃多发息肉,Illness
13382,阵发性房速,Illness
13383,肝右叶低回声,Illness
13384,双眼糖尿病视网膜病变,Illness
13385,高血压病（2级极高危）,Illness
13386,多囊卵巢,Illness
13387,慢性阻塞性肺疾病急性发作,Illness
13388,结肠炎,Illness
13389,限制性通气功能障碍,Illness
13390,陈旧性肋骨骨折,Illness
13391,右足骨折术后,Illness
13392,阿尔茨海默病,Illness
13393,腰椎间盘膨出（L3-S1）,Illness
13394,妊娠12周,Illness
13395,右颈动脉斑块形成,Illness
13396,甲状腺功能减退,Illness
13397,下肢动脉粥样硬化闭塞,Illness
13398,肝脓肿,Illness
13399,双肾体积缩小,Illness
13400,右耳皮脂腺囊肿,Illness
13401,两侧精囊炎,Illness
13402,右侧腮腺囊肿切除术后,Illness
13403,二尖瓣轻度反流,Illness
13404,右肾囊肿,Illness
13405,干细胞移植术后,Illness
13406,冠状动脉搭桥术后,Illness
13407,糖尿病足部神经病变,Illness
13408,高血压2级极高危,Illness
13409,胃窦息肉,Illness
13410,枕部皮下软组织肿胀,Illness
13411,左侧肋骨骨折,Illness
13412,多发子宫肌瘤,Illness
13413,胃穿孔术后,Illness
13414,左侧椎动脉支架植入术后,Illness
13415,机械性紫癜（眼眶）,Illness
13416,前庭大腺炎伴感染,Illness
13417,经腹腔镜行胃转流术胆囊切除术远端胃切除术后,Illness
13418,双侧踝关节退变,Illness
13419,肛周脓肿术后,Illness
13420,糖尿病视网膜病变术后,Illness
13421,两肺下叶间质性改变,Illness
13422,十二指肠粘膜下隆起,Illness
13423,门静脉高压性胃病,Illness
13424,左膝关节炎,Illness
13425,右侧额骨小骨瘤可能,Illness
13426,胆汁淤积,Illness
13427,两肺微小结节,Illness
13428,浅表性胃炎伴肠上皮化生,Illness
13429,肾动脉轻度狭窄,Illness
13430,左侧股浅动脉狭窄,Illness
13431,宫内置环（环位下移）,Illness
13432,右眼视网膜脱落术后,Illness
13433,先兆流产,Illness
13434,食管炎,Illness
13435,胃黄色素瘤,Illness
13436,右肾上腺结节,Illness
13437,左肾多发囊肿,Illness
13438,肋骨陈旧性骨折,Illness
13439,纵膈结节,Illness
13440,右肺上叶,Illness
13441,右侧上颌窦囊肿,Illness
13442,胰腺癌,Illness
13443,胰腺尾部占位,Illness
13444,肝脏多发类圆形低密度影,Illness
13445,双侧中耳乳突炎,Illness
13446,皮肤移植状态,Illness
13447,右耳下淋巴结转移癌可能,Illness
13448,左侧甲状腺滤泡囊肿,Illness
13449,白内障术后,Illness
13450,右侧肾上腺占位,Illness
13451,IgA肾病,Illness
13452,膝关节外伤术后,Illness
13453,肠腔内低密度影,Illness
13454,糖尿病性视网膜病变I期,Illness
13455,颈椎病,Illness
13456,左侧乳突炎症,Illness
13457,腔隙性脑梗死（左侧基底节区）,Illness
13458,血管性痴呆,Illness
13459,左肩关节囊积液,Illness
13460,腰椎退行性病变,Illness
13461,筛窦炎症,Illness
13462,病毒性肝炎，乙型，慢性,Illness
13463,胆囊炎,Illness
13464,十二指肠球部隆起,Illness
13465,椎间盘膨出,Illness
13466,左侧颈动脉硬化症,Illness
13467,陈旧性脑梗死,Illness
13468,带状疱疹,Illness
13469,L3/4椎间盘膨出,Illness
13470,腰椎病,Illness
13471,肝内高回声,Illness
13472,先天性心脏病（继发孔型房间隔缺损）,Illness
13473,腰椎病腰椎间盘突出症,Illness
13474,左侧乳腺瘤样增生,Illness
13475,疝气,Illness
13476,甲状腺功能亢进,Illness
13477,冠状动脉硬化症,Illness
13478,右肾实质性占位(肾错构瘤可能),Illness
13479,肾功能衰竭（CKD5期）,Illness
13480,肝硬化可能,Illness
13481,前列腺增生伴前列腺结石,Illness
13482,脑梗塞（急性期）,Illness
13483,糖尿病视网膜病变III期,Illness
13484,右侧肱骨骨折后,Illness
13485,大脑镰钙化,Illness
13486,左下肢动脉闭塞支架植入术后,Illness
13487,左眼糖尿病视网膜病变,Illness
13488,糖尿病肾病（CKD3期）,Illness
13489,右侧卵巢占位,Illness
13490,结肠息肉摘除术,Illness
13491,左耳突发性聋,Illness
13492,脑部慢性缺氧性改变,Illness
13493,浅表型胃炎伴糜烂,Illness
13494,慢性咽喉炎,Illness
13495,双侧白内障术后,Illness
13496,甲状腺肿瘤术后,Illness
13497,颈椎病（C4-7椎间盘突出伴椎管狭窄）,Illness
13498,药物性低血糖,Illness
13499,T12椎体楔形变,Illness
13500,动脉瘤,Illness
13501,脑出血后遗症,Illness
13502,左输尿管结石取石术后,Illness
13503,胸椎退变,Illness
13504,C6-7椎体轻度终板炎,Illness
13505,下肢动脉硬化闭塞症,Illness
13506,肾小结石,Illness
13507,左侧颈动脉斑块剥脱术后,Illness
13508,神经炎,Illness
13509,双肺局限性肺气肿,Illness
13510,VitD缺乏症,Illness
13511,T1椎体低密度区,Illness
13512,脂溢性皮炎,Illness
13513,肋骨骨折,Illness
13514,颈动脉粥样斑块硬化症,Illness
13515,低T3,Illness
13516,肝血管瘤可疑,Illness
13517,高血压病3级(极高危）,Illness
13518,颈椎退行性病变,Illness
13519,双侧下肢动脉内膜增厚伴斑块形成,Illness
13520,右下肢淋巴管炎,Illness
13521,右上肺陈旧性病灶,Illness
13522,纵膈内淋巴结肿大,Illness
13523,心房纤颤,Illness
13524,肠上皮化生,Illness
13525,骨密度低于同龄,Illness
13526,中期妊娠孕26周,Illness
13527,肝神经内分泌肿瘤（NET2级全肝多发）,Illness
13528,特指皮肤和皮下组织良性脂肪瘤样肿瘤,Illness
13529,乳腺小叶增生伴瘤化,Illness
13530,右侧丘脑陈旧性腔隙性脑梗死,Illness
13531,浅表性胃炎伴糜烂,Illness
13532,双侧声带息肉,Illness
13533,肝内实质性占位（血管瘤可能）,Illness
13534,胸椎椎管狭窄,Illness
13535,右下肢深静脉血栓取栓术后,Illness
13536,左侧肾脏钙化灶,Illness
13537,周期性库欣综合症可能,Illness
13538,双侧颈动脉内膜增厚,Illness
13539,子宫肌瘤刮宫术后,Illness
13540,结节性动脉脉炎,Illness
13541,2型糖尿病,Illness
13542,胃底息肉,Illness
13543,原发性甲状腺功能减退症,Illness
13544,糖尿病视网膜病变（II期）,Illness
13545,左侧肾上腺结合部稍增粗,Illness
13546,脑梗塞,Illness
13547,高脂血脂,Illness
13548,右肺及左肺尖斑片影,Illness
13549,胆囊多发结石,Illness
13550,左肺支气管扩张伴感染,Illness
13551,双侧肺部结节,Illness
13552,甲状腺腺瘤术后,Illness
13553,高促性腺激素型性腺功能减退症,Illness
13554,颈动脉狭窄,Illness
13555,急性阑尾炎,Illness
13556,两肺肺气肿,Illness
13557,主动脉瓣钙化,Illness
13558,食道炎，慢性胃炎恢复期,Illness
13559,双侧上颌窦及筛窦炎症,Illness
13560,胃体间质瘤可能,Illness
13561,右肺间质性变,Illness
13562,胃轻瘫,Illness
13563,酒精性脂肪肝,Illness
13564,L5/S1椎间隙狭窄,Illness
13565,牙周炎,Illness
13566,左肺下叶索条,Illness
13567,附睾炎,Illness
13568,主动脉瓣关闭不全,Illness
13569,冠状动脉支架植入后状态,Illness
13570,先天性心脏病房间隔缺损,Illness
13571,肝脏肿瘤,Illness
13572,声带白斑激光术后,Illness
13573,妊娠31周,Illness
13574,甲状腺切除术后,Illness
13575,右侧枕叶蛛网膜小囊肿,Illness
13576,上呼吸道感染,Illness
13577,肘关节肿胀,Illness
13578,腰椎椎管减压术,Illness
13579,高血病3级（极高危）,Illness
13580,高血压病（2级高危）,Illness
13581,肝脏实质性占位（血管瘤可能）,Illness
13582,椎管内占位,Illness
13583,阑尾炎手术后,Illness
13584,慢性肺气肿,Illness
13585,中期妊娠,Illness
13586,脑出血后遗症期,Illness
13587,双侧肾上腺增粗,Illness
13588,乙状结肠憩室,Illness
13589,脾内多发性实质性占位病变,Illness
13590,右下肢动脉闭塞,Illness
13591,L1,Illness
13592,腰椎间盘滑脱,Illness
13593,左侧输尿管上段轻度扩张,Illness
13594,肾上腺增粗,Illness
13595,颈椎病伴椎间盘变性，C4-7椎间盘突出，C5/6节段颈髓变性。,Illness
13596,二尖瓣后叶根部异常团块,Illness
13597,右中叶索条,Illness
13598,肝内实质性占位（血管瘤）,Illness
13599,贲门口炎,Illness
13600,颈内动脉粥样硬化,Illness
13601,左侧股骨颈结节样异常,Illness
13602,左肾癌术后,Illness
13603,纵隔小结节,Illness
13604,乙状结肠炎,Illness
13605,三支病变,Illness
13606,左肺上叶点状钙化灶,Illness
13607,胃大部分切除术后,Illness
13608,溃疡性结肠炎,Illness
13609,糖尿病肾病5期,Illness
13610,睾丸积水术后,Illness
13611,胆囊切除术,Illness
13612,左侧卵巢囊性占位,Illness
13613,双侧膝关节积液,Illness
13614,左室舒张功能减低,Illness
13615,右肺气肿,Illness
13616,下肢静脉瓣关闭不全,Illness
13617,萎缩性胃炎贲门炎,Illness
13618,双眼屈光不正,Illness
13619,十二指肠乳头增生性病变,Illness
13620,垂体部分空泡蝶鞍,Illness
13621,甲状腺癌,Illness
13622,右侧肾脏囊肿,Illness
13623,食管裂孔疝,Illness
13624,C4椎体内小血管瘤可能,Illness
13625,糖尿病视网膜病变(双眼激光治疗术后),Illness
13626,腰骶椎间盘突出症,Illness
13627,经腹腔镜行胃转流术+胆囊切除术+远端胃切除术后,Illness
13628,腹腔镜胃转流术后,Illness
13629,左肺上叶多发微小结节,Illness
13630,主动脉瓣置换术后,Illness
13631,人工晶体移位,Illness
13632,右侧腹股沟斜疝术后,Illness
13633,龟头炎,Illness
13634,肝内实质性占位,Illness
13635,白细胞减少症,Illness
13636,胆结石合并胆囊炎,Illness
13637,胰尾不均质团块,Illness
13638,冠状动脉粥样硬化症,Illness
13639,气管起始部左侧缘占位,Illness
13640,肝右叶囊肿可能,Illness
13641,内侧支增粗,Illness
13642,甲状腺结节（穿刺病理示良性病变）,Illness
13643,糖尿病视网膜病变（Ⅱ期）,Illness
13644,高血压病3级（很高危组）,Illness
13645,左侧胸腔少量积液,Illness
13646,叶酸缺乏,Illness
13647,左肺右叶小结节,Illness
13648,十二指肠多发息肉,Illness
13649,腰背部皮下软组织筋膜炎,Illness
13650,左上肺陈旧性病灶,Illness
13651,外动脉,Illness
13652,左侧肾上腺小结节,Illness
13653,右侧附件混合性包块,Illness
13654,不完全右束支阻滞,Illness
13655,左侧输卵管切除术后,Illness
13656,C5/6,Illness
13657,肝脏小血管瘤,Illness
13658,下叶小结节,Illness
13659,左侧胫前动脉闭塞,Illness
13660,L4及以上椎体轻度向前滑脱（Ⅰ°）,Illness
13661,右肺上叶局限性肺气肿,Illness
13662,左侧肾脏积水,Illness
13663,左膝关节骨性关节炎,Illness
13664,右侧椎动脉纤细,Illness
13665,急性阴道炎,Illness
13666,左肺肺大疱,Illness
13667,复发性口腔阿弗他溃疡,Illness
13668,左眼牵引性网脱,Illness
13669,左心房增大,Illness
13670,第12胸椎骨折,Illness
13671,右肾小结石,Illness
13672,慢性肾脏病3A期,Illness
13673,肾脏结石,Illness
13674,特发性震颤,Illness
13675,肺部占位,Illness
13676,青光眼术后,Illness
13677,二尖瓣狭窄换瓣术后,Illness
13678,桥本氏甲状腺炎(亚临床甲减期),Illness
13679,肝脏内实质性占位（血管瘤可能）,Illness
13680,T2水平气管右后方憩室,Illness
13681,垂体瘤,Illness
13682,左侧甲状腺结节术后,Illness
13683,耻骨后前列腺癌根治术后,Illness
13684,一度房室传导阻滞,Illness
13685,隐匿性阴茎,Illness
13686,心脏起搏器植入术后,Illness
13687,左侧锁骨骨折,Illness
13688,痛风性关节炎,Illness
13689,高血压Ⅱ级（极高危）,Illness
13690,双侧鼓室置管术后,Illness
13691,左输尿管双J管置入术后,Illness
13692,左侧肾上腺结合部增粗,Illness
13693,强直性脊柱炎,Illness
13694,肺钙化,Illness
13695,脑梗死（后遗症期）,Illness
13696,双侧鞘膜腔积液,Illness
13697,ICD植入术后,Illness
13698,消化性溃疡,Illness
13699,胰头占位,Illness
13700,心因性精神分裂症,Illness
13701,维生素D缺乏,Illness
13702,左下肢动脉粥样硬化,Illness
13703,直肠静脉曲张,Illness
13704,甲亢同位素治疗后,Illness
13705,右上颌窦囊肿,Illness
13706,肠系膜淋巴结炎,Illness
13707,前列腺体积增大,Illness
13708,双肺肺气肿,Illness
13709,直肠息肉摘除术后,Illness
13710,酒精性脂肪性肝炎,Illness
13711,左侧输尿管结石伴扩张,Illness
13712,抑郁伴焦虑,Illness
13713,胸腰椎退变,Illness
13714,左肺支气管扩张,Illness
13715,右侧卵巢囊性占位,Illness
13716,高血压病（2级，极高危）,Illness
13717,右上肺钙化点,Illness
13718,肝硬化伴门脉高压,Illness
13719,低钙血症,Illness
13720,左额叶深部亚急性期腔隙性脑梗死可能,Illness
13721,鸡眼,Illness
13722,子宫粘膜下肌瘤,Illness
13723,痔疮术后,Illness
13724,双侧肩袖损伤,Illness
13725,甲状腺乳头状癌全切除术后,Illness
13726,陈旧腔隙性脑梗死,Illness
13727,干燥综合征,Illness
13728,高血压病3级（高危组）,Illness
13729,前列腺结石,Illness
13730,大腿肌间脓肿,Illness
13731,甲状腺乳头状癌,Illness
13732,结肠息肉钳除术后（管状腺瘤伴低度上皮内瘤变）,Illness
13733,甲状腺癌切除术后,Illness
13734,双侧输尿管结石术后,Illness
13735,双侧泌尿系结石,Illness
13736,偶发室性早搏,Illness
13737,左眼葡萄膜炎,Illness
13738,双肺多发磨玻璃小结节,Illness
13739,急性胰腺炎（恢复期）,Illness
13740,双侧筛窦及上颌窦轻度炎症,Illness
13741,右膝关节置换术后,Illness
13742,腰椎退变,Illness
13743,妊娠30+周,Illness
13744,肝转移性胰高血糖素瘤,Illness
13745,孕16周,Illness
13746,骨量减少,Illness
13747,右肺中叶胸膜下结节,Illness
13748,椎体横突骨折,Illness
13749,右乳结节,Illness
13750,慢性肾小球肾炎,Illness
13751,咽炎,Illness
13752,孤立肾（右肾）,Illness
13753,不完全性肠梗阻,Illness
13754,永久起搏器植入术后,Illness
13755,孕35周,Illness
13756,双眼糖尿病视网膜病变激光治疗术后,Illness
13757,左侧肾上腺轻度增粗,Illness
13758,左肺上叶肺大疱,Illness
13759,右眼球摘除义眼植入手术后,Illness
13760,左侧丘脑腔隙性脑梗死,Illness
13761,脂肪肝,Illness
13762,结肠毛细血管扩张,Illness
13763,右肺局限性肺气肿,Illness
13764,糖尿病视网膜病变I期,Illness
13765,左侧桥小脑角占位,Illness
13766,冠脉支架植入后,Illness
13767,肝脓肿术后,Illness
13768,左室舒张功能减退,Illness
13769,右侧乳腺实质性占位,Illness
13770,心脏肌桥,Illness
13771,颈椎间盘突出症,Illness
13772,慢性乙型病毒肝炎,Illness
13773,右肺上叶小结节,Illness
13774,右肺及左肺叶间裂处多发小结节,Illness
13775,左侧肾上腺多发结节,Illness
13776,高血压1级（高危）,Illness
13777,咳嗽变异型哮喘,Illness
13778,颈椎退变伴C3/4椎间盘突出,Illness
13779,肾功能衰竭3期,Illness
13780,高血压2级（级高危组）,Illness
13781,1型呼吸衰竭,Illness
13782,双侧混合性耳聋,Illness
13783,腰间盘突出,Illness
13784,糜烂性胃炎伴出血,Illness
13785,前列腺钙化灶,Illness
13786,糖尿病肾病（V期）,Illness
13787,右侧胫骨平台及髌骨,Illness
13788,呼吸睡眠暂停综合征,Illness
13789,左测肾上腺增粗,Illness
13790,龟头皮炎,Illness
13791,妊娠15+周,Illness
13792,右肾积水,Illness
13793,胰管结石,Illness
13794,突发性耳聋,Illness
13795,胆囊内结石,Illness
13796,下肢静脉血栓形成,Illness
13797,部分性垂体前叶功能减退（性腺轴）,Illness
13798,两侧额顶叶及侧脑室旁慢性缺氧性改变,Illness
13799,慢性肾脏病变3期,Illness
13800,右肾动脉狭窄,Illness
13801,膝关节退行性变,Illness
13802,左小腿软组织挫伤,Illness
13803,高血压病3级（很高危）,Illness
13804,胰头脂肪化,Illness
13805,听力下降,Illness
13806,双侧膝关节退行性骨关节病,Illness
13807,糖尿病性酮症酸中毒,Illness
13808,椎管狭窄,Illness
13809,贫血（轻度）,Illness
13810,自身免疫性肝病,Illness
13811,L3压缩性骨折,Illness
13812,纵膈及右肺门处钙化结节,Illness
13813,胃多发溃疡,Illness
13814,颈动脉内膜增厚,Illness
13815,直肠肿瘤术后,Illness
13816,粒细胞缺乏,Illness
13817,纵膈气肿,Illness
13818,双眼玻璃体腔灌洗术后,Illness
13819,颈椎椎间盘突出症（C3-7）,Illness
13820,右侧结节性甲状腺肿术后,Illness
13821,胆囊炎合并胆囊多发结石,Illness
13822,糖尿病胃轻瘫,Illness
13823,颈总动脉,Illness
13824,急性支气管炎,Illness
13825,两侧上颌窦及筛窦炎症,Illness
13826,脐带血间充质干细胞移植术后,Illness
13827,两肺胸膜下多发结节,Illness
13828,结肠多发息肉钳夹术后,Illness
13829,右肺胸膜下轻度间质性炎症,Illness
13830,急性胃肠炎,Illness
13831,右锁骨下动脉粥样硬化症,Illness
13832,高血压病2级很高危,Illness
13833,轻度慢性萎缩性胃炎伴肠上皮化生（急性活动）,Illness
13834,前列腺增生术后,Illness
13835,糖尿病肾病（IV期）,Illness
13836,左侧肾上腺瘤切除术后,Illness
13837,双眼牵引性网脱,Illness
13838,右侧基底节陈旧性脑梗死,Illness
13839,颈胸腰椎退变,Illness
13840,阑尾炎,Illness
13841,前列腺苗勒氏囊肿,Illness
13842,胃体黏膜下隆起,Illness
13843,脐疝,Illness
13844,慢性肾炎,Illness
13845,尿潴留,Illness
13846,高血压2级,Illness
13847,高酯血症,Illness
13848,高血压病1级（很高危）,Illness
13849,右肺下叶结节,Illness
13850,左侧肺炎,Illness
13851,骨质疏松,Illness
13852,右卵巢平滑肌瘤术后,Illness
13853,椎动脉粥样硬化症,Illness
13854,左侧桡骨骨折,Illness
13855,高血压2级（很高危）,Illness
13856,右肾实质性占位（错构瘤可能）,Illness
13857,肝硬化（失代偿期）,Illness
13858,C6椎体骨岛,Illness
13859,结肠息肉术后,Illness
13860,左乳腺癌根治术后,Illness
13861,右侧卵巢囊肿部分囊性占位,Illness
13862,陈旧性脑出血,Illness
13863,筛窦囊肿,Illness
13864,左侧肾上腺切除术后,Illness
13865,肝癌术后,Illness
13866,糖尿病胃瘫,Illness
13867,鼻息肉摘除术后,Illness
13868,十二指肠球部息肉,Illness
13869,右侧肾盂旁囊肿,Illness
13870,1度房室传导阻滞,Illness
13871,左眼玻璃体机化,Illness
13872,宫颈腺体潴留囊肿,Illness
13873,脑梗死后遗症期,Illness
13874,缺铁性贫血（中度）,Illness
13875,非酒精性脂肪肝（早期）,Illness
13876,低血糖症,Illness
13877,左眼白内障,Illness
13878,颈椎病C4/5椎管狭窄,Illness
13879,室性早搏（部分呈RonT现象）,Illness
13880,右上肺陈旧性病变,Illness
13881,左侧腹股沟直疝,Illness
13882,足癣,Illness
13883,右输尿管结石伴右肾积水,Illness
13884,COPD,Illness
13885,泌尿系结石,Illness
13886,两肺索条,Illness
13887,游离盲肠固定术后,Illness
13888,右上肺小结节,Illness
13889,甲状腺右叶低密度影,Illness
13890,乳酸酸中毒,Illness
13891,右眼黄斑裂孔术后,Illness
13892,两侧胸少量腔积液,Illness
13893,卵园孔未闭,Illness
13894,右桡骨粉碎性骨折内固定术后,Illness
13895,小儿麻痹症,Illness
13896,双侧颈动脉粥样硬化伴闭塞,Illness
13897,左侧颈内动脉窦部球囊血管成形和支架置入术后,Illness
13898,垂体生长激素瘤复发,Illness
13899,骨囊肿,Illness
13900,左肾上腺腺瘤,Illness
13901,高血压病Ⅲ级（极高危）,Illness
13902,L4/5椎间盘轻度突出,Illness
13903,十二指肠球部溃疡（A2期）,Illness
13904,胆囊炎并胆囊内结石,Illness
13905,糖尿病,Illness
13906,轻度肾性贫血,Illness
13907,尺骨骨折,Illness
13908,慢性萎缩性胆囊炎伴胆囊结石,Illness
13909,高血压（1级）,Illness
13910,慢性乙型病毒型肝炎,Illness
13911,右肾旋转不良,Illness
13912,右肺中叶及左肺下叶结节,Illness
13913,糖尿病性视网膜病变II期,Illness
13914,食管粘膜下隆起,Illness
13915,牙龈脓肿,Illness
13916,两侧胸腔积液,Illness
13917,外耳软骨膜炎,Illness
13918,甲状腺滤泡性腺瘤切除术后,Illness
13919,更年期综合症,Illness
13920,慢性肾脏病(3期),Illness
13921,左侧乳腺瘤样增生可能,Illness
13922,右股骨囊肿,Illness
13923,右侧锁骨下动脉粥样硬化症,Illness
13924,霉菌性中耳炎,Illness
13925,老年性白内障,Illness
13926,慢性肠炎,Illness
13927,左肺下叶胸膜下结节,Illness
13928,甲状腺全叶微小乳头状癌,Illness
13929,肝右叶小血管瘤,Illness
13930,原发性肝癌介入灌注及栓塞术后,Illness
13931,两肺间质性改变,Illness
13932,右下肢动脉硬化闭塞症,Illness
13933,肝功能损伤,Illness
13934,前列腺占位,Illness
13935,双侧乳腺小叶增生,Illness
13936,短暂性脑缺血发作（椎基底动脉系统）,Illness
13937,肝硬化失代偿期,Illness
13938,甲状腺乳头状癌术后+中央区淋巴结清扫术后,Illness
13939,慢性淋巴细胞增殖性疾病,Illness
13940,双侧肾动脉支架植入术后,Illness
13941,直肠癌术后,Illness
13942,右侧甲状腺囊肿,Illness
13943,乳腺囊肿,Illness
13944,横结肠绒毛状管状腺瘤伴低度上皮内瘤变,Illness
13945,右侧背部肌层实质性占位,Illness
13946,双肾皮质回声增强,Illness
13947,房间隔膨出瘤,Illness
13948,椎间盘突出（L4-S1）,Illness
13949,左侧腮腺囊肿,Illness
13950,胃转流+胆囊切除术后,Illness
13951,甲状腺机能亢进症（Graves病）,Illness
13952,右侧胸腺局部结节样钙化,Illness
13953,右膝关节积液,Illness
13954,脂肪瘤切除术,Illness
13955,左乳癌根治术后,Illness
13956,皮肤软组织感染,Illness
13957,预激综合征,Illness
13958,双侧肾脏结石,Illness
13959,胰腺中段切除术后,Illness
13960,右耳低频感音神经性听力下降,Illness
13961,左侧颈动脉狭窄,Illness
13962,肝占位：HCC,Illness
13963,高血压病（3级，很高危）,Illness
13964,冠状动脉搭桥术后状态,Illness
13965,多囊卵巢综合征,Illness
13966,肺源性心脏病,Illness
13967,右侧臀部结节,Illness
13968,左下肢静脉曲张术后,Illness
13969,甲状腺右侧叶结节,Illness
13970,右肺结节斑片影,Illness
13971,食管粘膜剥脱,Illness
13972,左侧肋骨骨折内固定术后,Illness
13973,二尖瓣轻度狭窄伴关闭不全,Illness
13974,宫颈囊肿,Illness
13975,双侧上颌窦炎,Illness
13976,急性脑梗塞,Illness
13977,高血压病2级（很高危组）,Illness
13978,左侧额叶血肿,Illness
13979,右侧乳腺癌术后,Illness
13980,左足第5足趾切除术后,Illness
13981,糖尿病视网膜病变（Ⅰ期）,Illness
13982,左肾上极外侧占位（血肿可能）,Illness
13983,滴虫性阴道炎,Illness
13984,急性活动,Illness
13985,右侧肾上腺结合部增粗,Illness
13986,T3椎体血管瘤,Illness
13987,高血压3级极高危组,Illness
13988,右肺中,Illness
13989,桥本甲状腺炎,Illness
13990,双侧下肢动脉粥样硬化症,Illness
13991,血吸虫性肝病,Illness
13992,糖尿病性神经病变,Illness
13993,双向情感障碍,Illness
13994,右肺上叶胸膜下多发微小结节,Illness
13995,上颌窦炎筛窦炎,Illness
13996,左乳小叶增生,Illness
13997,左眼白内障晶体植入术后,Illness
13998,左肾小囊肿,Illness
13999,鼻中隔轻度偏曲,Illness
14000,冠心病（1）冠脉支架植入术后,Illness
14001,左肾积水,Illness
14002,左侧眼球环形钙化,Illness
14003,食管静脉瘤,Illness
14004,原发性骨质疏松症,Illness
14005,子宫纵隔,Illness
14006,颈动脉粥样硬化(双侧斑块),Illness
14007,左肾上腺占位,Illness
14008,右眼视网膜脱落,Illness
14009,乳腺纤维瘤切除术后,Illness
